time	V(n001)
Step Information: Bias=200m  (Run: 1/4)
6.662182733131068e-002	4.973755e+000
6.665932733131068e-002	4.961309e+000
6.670932733131067e-002	4.956310e+000
6.679487244517979e-002	4.974481e+000
6.680551891392671e-002	4.979055e+000
6.682681185142055e-002	4.986844e+000
6.686939772640824e-002	4.991660e+000
6.691905138666891e-002	4.992182e+000
6.697494832566669e-002	4.992282e+000
6.703617745410986e-002	4.991922e+000
6.713560308150071e-002	4.990728e+000
6.723560308150071e-002	4.989700e+000
6.743560308150072e-002	4.987737e+000
6.773560308150073e-002	4.984462e+000
6.783560308150073e-002	4.983064e+000
6.793560308150073e-002	4.980551e+000
6.803560308150074e-002	4.969238e+000
6.813560308150074e-002	4.902689e+000
6.823560308150074e-002	4.698885e+000
6.833560308150075e-002	4.333972e+000
6.843560308150075e-002	3.885293e+000
6.853560308150075e-002	3.467978e+000
6.863560308150075e-002	3.131803e+000
6.873560308150076e-002	2.841543e+000
6.883560308150076e-002	2.564533e+000
6.893560308150076e-002	2.293692e+000
6.903560308150077e-002	2.027931e+000
6.913560308150077e-002	1.768177e+000
6.923560308150077e-002	1.513649e+000
6.933560308150077e-002	1.256078e+000
6.943560308150078e-002	9.826951e-001
6.944810308150078e-002	9.427280e-001
6.947935308150077e-002	8.292984e-001
6.951685308150077e-002	6.903653e-001
6.956685308150076e-002	5.196544e-001
6.965095736676615e-002	2.612627e-001
6.966128696419512e-002	2.323779e-001
6.968194615905304e-002	1.791522e-001
6.972326454876891e-002	9.572151e-002
6.977213938307174e-002	4.868938e-002
6.982722803420310e-002	3.774068e-002
6.989126010044862e-002	3.756589e-002
6.998975384522793e-002	3.779658e-002
7.008975384522793e-002	3.740364e-002
7.028975384522794e-002	3.542687e-002
7.058975384522795e-002	3.199430e-002
7.068975384522795e-002	3.102071e-002
7.078975384522795e-002	3.076960e-002
7.088975384522796e-002	3.205895e-002
7.098975384522796e-002	2.755956e-002
7.108975384522796e-002	1.758541e-002
7.118975384522797e-002	1.563458e-002
7.128975384522797e-002	1.803146e-002
7.138975384522797e-002	2.647129e-002
7.148975384522797e-002	4.434297e-002
7.158975384522798e-002	5.917820e-002
7.168975384522798e-002	7.214947e-002
7.178975384522798e-002	8.738369e-002
7.188975384522799e-002	1.056098e-001
7.198975384522799e-002	1.291661e-001
7.208975384522799e-002	1.591460e-001
7.218975384522799e-002	2.047369e-001
7.228975384522800e-002	2.753016e-001
7.230225384522800e-002	2.898898e-001
7.233350384522799e-002	3.378601e-001
7.237100384522799e-002	4.014433e-001
7.242100384522798e-002	5.182269e-001
7.250514507686889e-002	7.931796e-001
7.251548358092286e-002	8.389392e-001
7.253616058903079e-002	9.426256e-001
7.257751460524665e-002	1.124123e+000
7.262642845169721e-002	1.297219e+000
7.268152342809296e-002	1.463911e+000
7.274702582125997e-002	1.651776e+000
7.284591330314473e-002	1.928277e+000
7.294591330314473e-002	2.202055e+000
7.314591330314474e-002	2.733318e+000
7.344591330314475e-002	3.493066e+000
7.354591330314475e-002	3.737484e+000
7.364591330314475e-002	3.981619e+000
7.374591330314476e-002	4.237386e+000
7.384591330314476e-002	4.505973e+000
7.394591330314476e-002	4.755423e+000
7.404591330314476e-002	4.927559e+000
7.414591330314477e-002	4.990674e+000
7.424591330314477e-002	4.992174e+000
7.434591330314477e-002	4.987564e+000
7.444591330314478e-002	4.985141e+000
7.454591330314478e-002	4.985039e+000
7.464591330314478e-002	4.985855e+000
7.474591330314478e-002	4.986283e+000
7.484591330314479e-002	4.987004e+000
7.494591330314479e-002	4.987304e+000
7.504591330314479e-002	4.986106e+000
7.514591330314480e-002	4.981709e+000
7.515841330314479e-002	4.979962e+000
7.518966330314479e-002	4.971915e+000
7.522716330314479e-002	4.959582e+000
7.527716330314478e-002	4.955506e+000
7.536085305502882e-002	4.972486e+000
7.544266021785633e-002	4.988667e+000
7.552657389011593e-002	4.992704e+000
7.560625679410647e-002	4.992064e+000
7.569527828477540e-002	4.990884e+000
7.579527828477541e-002	4.989711e+000
7.589527828477541e-002	4.988794e+000
7.619527828477542e-002	4.985705e+000
7.639527828477542e-002	4.983162e+000
7.649527828477543e-002	4.980848e+000
7.659527828477543e-002	4.971725e+000
7.669527828477543e-002	4.906384e+000
7.679527828477543e-002	4.699831e+000
7.689527828477544e-002	4.333303e+000
7.699527828477544e-002	3.884674e+000
7.709527828477544e-002	3.467246e+000
7.719527828477545e-002	3.131299e+000
